通報ID,三支業者通報時間,特店名稱,特店統一編號,特店地址,特店電話,特店註冊日期,特店網址,三支業者通報案由,三支業者示警,執法機構處理狀態,三支業者聯絡人,三支通報業者,特店成立至通報天數,跨業者通報數,是否跨業者重複通報,是否節慶高風險期間,節慶／消費檔期名稱,距節慶中心日天數,關聯群組,共用地址群組,共用電話群組,共用網址群組,建議綜合風險分數,資料性質
R00001,2025-01-01 15:30:00,創盈商行,25016539,桃園市桃園區中正路22號2樓,05-6239-5638,2024-11-06,https://www.shop1111-tw.com,疑似洗錢,低,尚未移送,黃郁涵,第三方支付B,56,3,是,否,,,,,,,60,模擬資料
R00003,2025-01-01 20:42:00,樂購國際有限公司,25015347,高雄市三民區建國二路142號6樓,06-7497-4882,2024-09-24,https://www.shop1103-tw.com,短期交易量異常成長,高,要求補充資料,李佳穎,第三方支付B,99,3,是,否,,,,,,,63,模擬資料
R00002,2025-01-01 21:33:00,樂購國際有限公司,25015347,高雄市三民區建國二路142號6樓,06-7497-4882,2024-10-30,https://www.shop1103-tw.com,多筆交易來源高度集中,中,已通報執法機構,吳佩珊,第三方支付C,63,3,是,否,,,,,,,57,模擬資料
R00004,2025-01-02 17:24:00,鑫盛行銷有限公司,25017731,台北市信義區松仁路258號5樓,04-9677-2488,2024-10-13,https://www.shop1119-tw.com,疑似假交易真套現,中,尚未移送,陳冠宇,第三方支付A,81,2,是,否,,,,,,,63,模擬資料
R00005,2025-01-03 16:10:00,迅達數位有限公司,25009536,高雄市三民區建國二路193號2樓,05-2902-1366,2024-10-22,https://www.shop1064-tw.com,疑似串接博弈網站,中,要求補充資料,周柏廷,第三方支付C,73,3,是,否,,,,,,,57,模擬資料
R00006,2025-01-04 08:19:00,領航電子商務有限公司,25016688,高雄市三民區建國二路133號11樓,05-2974-4959,2024-09-22,https://www.shop1112-tw.com,疑似人頭特店,低,尚未移送,李佳穎,第三方支付B,104,3,是,否,,,,,,,47,模擬資料
R00007,2025-01-05 21:29:00,昇泰國際有限公司,25001341,桃園市桃園區中正路520號10樓,03-335-8811,2024-10-02,https://www.superdeal-tw-2.com,短期交易量異常成長,中,尚未移送,黃郁涵,第三方支付B,95,3,是,否,,,G05,ADDR-G05,TEL-G05,WEB-G05,58,模擬資料
R00008,2025-01-06 10:54:00,萬禾行銷有限公司,25005364,台南市中西區民生路二段87號13樓,02-8910-7869,2024-07-10,https://www.shop1036-tw.com,疑似假交易真套現,低,尚未移送,吳佩珊,第三方支付C,180,3,是,否,,,,,,,37,模擬資料
R00009,2025-01-07 11:05:00,宏富商行,25003725,台北市中山區南京東路二段100號8樓,02-2718-8899,2024-10-07,https://www.fastmall-pay-2.com,疑似假交易真套現,中,調查中,林志豪,第三方支付A,92,3,是,否,,,G01,ADDR-G01,TEL-G01,WEB-G01,67,模擬資料
R00010,2025-01-07 18:40:00,百匯電子商務有限公司,25001043,台中市西屯區台灣大道三段660號9樓,04-2310-6688,2024-03-04,https://www.goldtrade-shop-4.com,疑似假投資平台收款,高,要求補充資料,陳冠宇,第三方支付A,309,3,是,否,,,G03,ADDR-G03,TEL-G03,WEB-G03,60,模擬資料
R00012,2025-01-08 09:25:00,易享國際有限公司,25011622,台北市信義區松仁路23號13樓,03-3131-1026,2024-10-14,https://www.shop1078-tw.com,疑似人頭特店,中,調查中,李佳穎,第三方支付B,86,2,是,否,,,,,,,66,模擬資料
R00011,2025-01-08 15:54:00,迅達數位有限公司,25008791,台南市中西區民生路二段75號15樓,02-3220-4310,2024-09-19,https://www.shop1059-tw.com,疑似假投資平台收款,高,已通報執法機構,張家維,第三方支付B,111,2,是,否,,,,,,,50,模擬資料
R00013,2025-01-09 21:41:00,易享行銷有限公司,25009238,台北市大安區復興南路一段125號6樓,06-4230-2649,2024-06-04,https://www.shop1062-tw.com,異常大量交易,低,已通報執法機構,張家維,第三方支付B,219,3,是,否,,,,,,,30,模擬資料
R00015,2025-01-11 08:25:00,聯盛國際有限公司,25008046,高雄市三民區建國二路283號10樓,06-4910-2479,2024-11-28,https://www.shop1054-tw.com,異常大量交易,低,已通報執法機構,王怡婷,第三方支付A,44,3,是,是,春節,-18,,,,,64,模擬資料
R00014,2025-01-11 08:34:00,昇泰商行,25014304,台南市中西區民生路二段203號2樓,02-6735-2950,2024-09-15,https://www.shop1096-tw.com,疑似假交易真套現,中,已通報執法機構,蔡承翰,第三方支付C,118,2,是,是,春節,-18,,,,,47,模擬資料
R00018,2025-01-13 11:51:00,萬禾行銷有限公司,25005960,台南市中西區民生路二段162號2樓,03-7443-6042,2024-10-03,https://www.shop1040-tw.com,疑似人頭特店,低,已通報執法機構,張家維,第三方支付B,102,3,是,是,春節,-16,,,,,47,模擬資料
R00016,2025-01-13 13:01:00,聯盛商行,25006705,台北市信義區松仁路196號12樓,03-7156-3002,2024-09-21,https://www.shop1045-tw.com,疑似假交易真套現,中,調查中,吳佩珊,第三方支付C,114,3,是,是,春節,-16,,,,,52,模擬資料
R00017,2025-01-13 15:11:00,聯盛商行,25006705,台北市信義區松仁路196號12樓,03-7156-3002,2024-09-21,https://www.shop1045-tw.com,疑似假交易真套現,中,調查中,張家維,第三方支付B,114,3,是,是,春節,-16,,,,,68,模擬資料
R00019,2025-01-13 16:08:00,迅達國際有限公司,25014155,台中市北屯區崇德路二段279號6樓,04-3036-1333,2024-12-04,https://www.shop1095-tw.com,疑似假交易真套現,高,已移送偵辦,吳佩珊,第三方支付C,40,3,是,是,春節,-16,,,,,73,模擬資料
R00021,2025-01-14 12:49:00,領航電子商務有限公司,25016688,高雄市三民區建國二路133號11樓,05-2974-4959,2024-11-06,https://www.shop1112-tw.com,異常大量交易,高,確認涉詐,李佳穎,第三方支付B,69,3,是,是,春節,-15,,,,,74,模擬資料
R00020,2025-01-14 19:56:00,鼎盛數位有限公司,25005215,台北市大安區復興南路一段176號13樓,02-2880-9184,2024-05-29,https://www.shop1035-tw.com,疑似串接博弈網站,低,已通報執法機構,林志豪,第三方支付A,230,3,是,是,春節,-15,,,,,40,模擬資料
R00022,2025-01-15 13:44:00,誠品達電子商務有限公司,25009387,台中市北屯區崇德路二段298號2樓,02-5346-1028,2024-04-14,https://www.shop1063-tw.com,疑似假投資平台收款,低,已通報執法機構,王怡婷,第三方支付A,276,3,是,是,春節,-14,,,,,37,模擬資料
R00023,2025-01-16 08:15:00,大洋數位有限公司,25011026,新北市新莊區中正路208號14樓,07-5681-9117,2024-08-13,https://www.shop1074-tw.com,異常大量交易,低,尚未移送,蔡承翰,第三方支付C,156,3,是,是,春節,-13,,,,,57,模擬資料
R00025,2025-01-16 17:43:00,鑫盛數位有限公司,25002086,桃園市桃園區中正路520號10樓,03-335-8811,2024-05-31,https://www.superdeal-tw-3.com,大量退款與取消交易,中,尚未移送,蔡承翰,第三方支付C,230,3,是,是,春節,-13,G05,ADDR-G05,TEL-G05,WEB-G05,51,模擬資料
R00024,2025-01-16 19:04:00,昇泰商行,25017135,桃園市桃園區中正路220號3樓,04-8411-2039,2024-10-14,https://www.shop1115-tw.com,疑似洗錢,低,已通報執法機構,蔡承翰,第三方支付C,94,3,是,是,春節,-13,,,,,45,模擬資料
